time,x,y,z
3.107399,-0.184,-1.082,-0.203
3.115205,-0.207,-1.051,-0.185
3.119894,-0.308,-0.91,-0.1
3.134885,-0.335,-0.87,-0.08
3.137685,-0.508,-0.589,0.012
3.139921,-0.54,-0.532,0.024
3.153948,-0.573,-0.469,0.031
3.158257,-0.736,0.007,-0.002
3.173276,-0.746,0.107,-0.024
3.176153,-0.716,0.675,-0.207
3.191981,-0.692,0.746,-0.238
3.210877,-0.513,0.946,-0.326
3.228984,-0.282,0.501,-0.197
3.233865,-0.152,-0.403,-0.027
3.236355,-0.142,-0.499,-0.028
3.23878,-0.133,-0.587,-0.027
3.241207,-0.122,-0.665,-0.035
3.249595,-0.11,-0.734,-0.044
3.25374,-0.073,-0.924,-0.118
3.256322,-0.067,-0.948,-0.137
3.258939,-0.058,-0.965,-0.157
3.268476,-0.053,-0.97,-0.181
3.271934,-0.031,-0.931,-0.253
3.274014,-0.024,-0.909,-0.267
3.287101,-0.023,-0.886,-0.276
3.291203,-0.026,-0.707,-0.244
3.306143,-0.03,-0.674,-0.228
3.309272,-0.059,-0.409,-0.12
3.325155,-0.064,-0.361,-0.106
3.344506,-0.085,-0.036,-0.057
3.349104,-0.082,0.287,-0.061
3.351697,-0.077,0.297,-0.061
3.354052,-0.075,0.302,-0.063
3.356791,-0.072,0.299,-0.063
3.364917,-0.067,0.292,-0.065
3.369277,-0.049,0.222,-0.061
3.371768,-0.042,0.197,-0.063
3.374505,-0.037,0.17,-0.064
3.384095,-0.03,0.144,-0.065
3.387008,-0.004,0.055,-0.07
3.389542,0.003,0.038,-0.074
3.391902,0.009,0.026,-0.075
3.403121,0.014,0.016,-0.079
3.407055,0.04,0.011,-0.096
3.421883,0.043,0.02,-0.095
3.424763,0.053,0.114,-0.095
3.440687,0.053,0.134,-0.093
3.462331,0.043,0.297,-0.076
3.462654,0.041,0.316,-0.076
3.479751,0.058,0.41,-0.091
3.48279,0.066,0.333,-0.054
3.485097,0.063,0.313,-0.039
3.487647,0.061,0.296,-0.022
3.490289,0.057,0.283,0.001
3.492852,0.051,0.274,0.022
3.502115,0.043,0.269,0.043
3.505429,0.004,0.32,0.136
3.507934,-0.004,0.359,0.157
3.521024,-0.012,0.41,0.172
3.525221,-0.003,0.866,0.104
3.539584,0.011,0.945,0.061
3.558383,0.158,1.245,-0.26
3.577391,0.31,1.183,-0.469
3.580737,0.42,0.86,-0.446
3.583361,0.43,0.815,-0.434
3.585776,0.443,0.766,-0.418
3.588596,0.455,0.714,-0.401
3.591089,0.468,0.666,-0.385
3.601186,0.481,0.617,-0.369
3.604013,0.536,0.42,-0.289
3.60588,0.551,0.369,-0.267
3.620304,0.563,0.323,-0.244
3.623851,0.635,0.117,-0.07
3.639308,0.645,0.095,-0.035
3.641808,0.661,0.092,0.192
3.658245,0.659,0.117,0.231
3.677109,0.577,0.421,0.496
3.696007,0.373,0.599,0.719
3.702133,0.103,0.318,0.808
3.702383,0.064,0.261,0.806
3.719311,-0.014,0.137,0.791
3.721665,-0.244,-0.302,0.637
3.724303,-0.272,-0.365,0.606
3.740087,-0.298,-0.428,0.575
3.759185,-0.455,-0.866,0.343
3.762294,-0.584,-1.253,0.146
3.764592,-0.607,-1.296,0.124
