time,x,y,z
1.739052,0.415,-0.245,-0.372
1.756194,0.392,0.084,-0.512
1.762107,0.431,0.216,-0.678
1.762285,0.44,0.234,-0.715
1.773783,0.448,0.257,-0.748
1.777612,0.499,0.444,-0.924
1.780944,0.514,0.468,-0.925
1.782647,0.54,0.486,-0.906
1.785283,0.571,0.502,-0.873
1.787745,0.605,0.514,-0.831
1.790551,0.638,0.53,-0.776
1.801066,0.667,0.546,-0.716
1.80553,0.753,0.62,-0.38
1.819023,0.751,0.64,-0.299
1.823265,0.554,0.813,0.154
1.836742,0.49,0.841,0.217
1.854202,0.013,0.987,0.514
1.871963,-0.032,1.007,0.458
1.889339,0.349,0.885,0.426
1.906883,0.587,0.946,0.438
1.911199,0.629,0.958,0.257
1.915095,0.61,0.966,0.231
1.916555,0.587,0.98,0.207
1.918775,0.563,0.997,0.186
1.921407,0.548,1.017,0.171
1.928859,0.529,1.03,0.162
1.933824,0.42,1.111,0.105
1.936443,0.385,1.133,0.086
1.938997,0.349,1.154,0.066
1.947404,0.309,1.182,0.049
1.951336,0.165,1.33,-0.005
1.953876,0.125,1.356,-0.026
1.956458,0.081,1.368,-0.055
1.965807,0.04,1.378,-0.086
1.968939,-0.066,1.387,-0.156
1.971603,-0.08,1.382,-0.16
1.983597,-0.088,1.371,-0.156
1.986775,-0.112,1.234,-0.119
1.989261,-0.111,1.202,-0.11
2.001436,-0.104,1.175,-0.098
2.004679,-0.035,1.078,-0.014
2.007107,-0.011,1.061,0.007
2.018807,0.014,1.041,0.025
2.022244,0.194,0.876,0.098
2.03626,0.245,0.818,0.094
2.03977,0.572,0.327,0.071
2.053542,0.625,0.235,0.069
2.070952,0.877,-0.222,0.035
2.088452,0.952,-0.445,0.059
2.105473,0.762,-0.336,0.185
2.110174,0.478,-0.072,0.316
2.112587,0.441,-0.04,0.339
2.115665,0.406,-0.006,0.368
2.117733,0.374,0.026,0.393
2.120241,0.344,0.055,0.41
2.122795,0.32,0.079,0.424
2.1287,0.302,0.102,0.428
2.13267,0.289,0.135,0.433
2.135371,0.299,0.137,0.429
2.137798,0.318,0.138,0.424
2.146832,0.34,0.136,0.414
2.150565,0.467,0.14,0.368
2.153021,0.496,0.137,0.354
2.155747,0.523,0.134,0.341
2.165655,0.546,0.134,0.326
2.168255,0.564,0.119,0.27
2.170773,0.553,0.116,0.255
2.173339,0.538,0.109,0.248
2.183338,0.518,0.107,0.237
2.186203,0.44,0.1,0.213
2.188552,0.422,0.102,0.213
2.206065,0.408,0.103,0.21
2.208953,0.316,0.099,0.228
2.213483,0.311,0.094,0.228
2.216238,0.315,0.091,0.224
2.218568,0.319,0.087,0.22
2.220709,0.328,0.083,0.214
2.223369,0.339,0.084,0.206
2.228786,0.349,0.09,0.201
2.233673,0.371,0.117,0.199
2.23623,0.37,0.129,0.203
2.238639,0.365,0.142,0.208
2.246502,0.357,0.161,0.216
2.249145,0.293,0.233,0.229
2.253864,0.232,0.287,0.235
2.256859,0.202,0.313,0.246
2.266266,0.175,0.343,0.254
2.26926,0.083,0.49,0.305
2.271444,0.062,0.52,0.321
2.284527,0.05,0.542,0.338
2.289109,-0.004,0.595,0.433
2.301985,-0.005,0.58,0.443
2.306482,-0.005,0.357,0.437
2.330382,0.001,0.315,0.432
2.352641,0.108,0.01,0.432
2.370339,0.423,-0.105,0.493
2.387941,0.67,-0.285,0.377
2.392728,0.687,-0.319,0.326
2.394861,0.678,-0.307,0.325
2.397651,0.663,-0.298,0.319
2.400184,0.648,-0.291,0.306
2.40226,0.632,-0.285,0.288
2.404915,0.619,-0.264,0.294
2.412225,0.613,-0.238,0.316
2.414943,0.591,-0.153,0.359
2.417428,0.585,-0.129,0.362
2.419817,0.581,-0.102,0.369
2.422302,0.572,-0.072,0.384
2.431323,0.562,-0.038,0.395
2.43532,0.485,0.106,0.409
2.437888,0.463,0.14,0.412
2.450721,0.44,0.166,0.402
2.455358,0.327,0.29,0.428
2.468583,0.312,0.301,0.424
2.472784,0.212,0.344,0.253
2.486279,0.189,0.348,0.211
2.489206,0.049,0.374,0.015
2.505423,0.007,0.387,-0.011
2.523554,-0.387,0.487,-0.181
2.526118,-0.765,0.615,-0.347
2.529963,-0.809,0.632,-0.37
2.534306,-0.899,0.662,-0.413
2.536336,-0.941,0.675,-0.433
2.538986,-0.981,0.69,-0.455
2.549144,-1.017,0.698,-0.478
2.55387,-1.19,0.706,-0.577
2.555908,-1.22,0.697,-0.598
2.567221,-1.253,0.688,-0.625
2.570596,-1.34,0.578,-0.68
2.573116,-1.339,0.538,-0.681
2.585131,-1.343,0.495,-0.685
2.588447,-1.305,0.188,-0.681
2.603021,-1.297,0.117,-0.676
2.606072,-1.249,-0.321,-0.633
2.620801,-1.241,-0.396,-0.627
2.623807,-1.159,-0.879,-0.616
2.63876,-1.14,-0.973,-0.624
2.656433,-0.924,-1.56,-0.671
2.674575,-0.393,-2.192,-0.647
2.679206,0.37,-2.885,-0.577
2.681647,0.461,-2.948,-0.574
2.684177,0.544,-3.001,-0.574
2.686737,0.628,-3.037,-0.579
2.68959,0.704,-3.065,-0.585
2.696615,0.776,-3.083,-0.583
2.699658,0.912,-3.088,-0.6
2.702256,0.929,-3.067,-0.611
2.704608,0.932,-3.035,-0.622
2.707281,0.923,-2.992,-0.637
2.715955,0.896,-2.938,-0.656
2.719796,0.697,-2.834,-0.589
2.722275,0.628,-2.761,-0.587
2.734527,0.544,-2.67,-0.612
2.737511,0.1,-2.256,-0.711
2.740003,0.023,-2.16,-0.709
2.752305,-0.052,-2.053,-0.699
2.755112,-0.33,-1.705,-0.563
2.770275,-0.369,-1.682,-0.536
2.778088,-0.45,-1.517,-0.525
2.778304,-0.447,-1.498,-0.517
2.778439,-0.434,-1.481,-0.491
2.791974,-0.415,-1.464,-0.451
2.795426,-0.183,-1.376,-0.043
2.797602,-0.125,-1.349,0.075
2.799992,-0.065,-1.316,0.167
2.803003,0.006,-1.281,0.258
2.805148,0.08,-1.237,0.362
2.813731,0.159,-1.185,0.458
2.817944,0.456,-0.963,0.791
2.820688,0.518,-0.917,0.845
2.822972,0.567,-0.877,0.876
2.834384,0.607,-0.847,0.881
2.838224,0.731,-0.779,0.889
2.85329,0.741,-0.789,0.878
2.856259,0.859,-0.788,0.878
2.8721,0.88,-0.768,0.908
2.890913,0.903,-0.461,1.002
2.893784,0.858,-0.154,1.065
2.898237,0.842,-0.102,1.097
2.900749,0.842,-0.071,1.104
2.903458,0.843,-0.04,1.11
2.905944,0.847,-0.014,1.109
2.91194,0.858,0.017,1.113
2.915928,0.903,0.062,1.181
2.918437,0.921,0.069,1.226
2.920849,0.944,0.075,1.277
2.923484,0.97,0.083,1.328
2.930762,1.001,0.085,1.377
2.933437,1.086,0.107,1.553
2.936017,1.113,0.116,1.609
2.938592,1.139,0.122,1.657
2.948921,1.165,0.132,1.694
2.95373,1.259,0.091,1.797
2.956205,1.258,0.073,1.782
2.967543,1.264,0.066,1.762
2.971139,1.366,0.089,1.628
2.973791,1.342,0.106,1.589
2.985942,1.302,0.129,1.551
2.988894,1.127,0.372,1.43
3.004552,1.094,0.433,1.421
3.022746,0.807,0.823,1.173
3.041131,0.512,1.145,0.739
3.059494,0.142,1.64,0.212
3.07744,-0.318,2.054,-0.06
3.082089,-0.403,1.622,-0.117
3.084602,-0.383,1.507,-0.13
3.087018,-0.357,1.38,-0.151
3.089801,-0.324,1.244,-0.17
3.096832,-0.284,1.105,-0.193
3.099774,-0.139,0.7,-0.272
3.102186,-0.084,0.574,-0.3
3.104852,-0.026,0.451,-0.325
3.115971,0.033,0.329,-0.352
3.120112,0.315,-0.119,-0.488
3.122689,0.363,-0.173,-0.514
3.134802,0.403,-0.216,-0.538
3.137839,0.519,-0.252,-0.635
3.140278,0.521,-0.227,-0.65
3.153126,0.517,-0.195,-0.661
3.155879,0.367,0.051,-0.661
3.17331,0.312,0.114,-0.652
3.178152,-0.232,0.655,-0.641
3.180681,-0.252,0.704,-0.667
3.183083,-0.253,0.742,-0.701
3.185886,-0.244,0.761,-0.741
3.188084,-0.23,0.769,-0.786
3.190501,-0.214,0.763,-0.834
3.195838,-0.198,0.751,-0.88
3.196193,-0.184,0.728,-0.926
3.198261,-0.166,0.704,-0.968
3.200763,-0.145,0.674,-1.003
3.203266,-0.118,0.644,-1.03
3.205636,-0.087,0.607,-1.051
3.214836,-0.047,0.562,-1.066
3.218423,0.158,0.31,-1.066
3.220767,0.213,0.234,-1.059
3.223355,0.267,0.153,-1.052
3.233347,0.322,0.076,-1.038
3.236059,0.545,-0.199,-0.979
3.238514,0.599,-0.253,-0.95
3.25234,0.653,-0.305,-0.919
3.256334,0.865,-0.467,-0.733
3.270527,0.873,-0.479,-0.702
3.273818,0.76,-0.476,-0.406
3.289459,0.804,-0.515,-0.286
3.307999,0.895,-0.26,0.828
3.326124,0.893,-0.106,0.531
3.328914,0.009,0.453,0.004
3.331401,-0.096,0.461,-0.015
3.333851,0.044,0.001,-0.033
3.336464,0.192,-0.208,0.018
3.339181,0.237,-0.118,0.032
3.346062,0.203,-0.058,-0.041
3.34681,0.142,-0.033,-0.151
3.346864,0.099,-0.043,-0.273
3.349047,0.08,-0.079,-0.399
3.351509,0.079,-0.117,-0.521
3.354125,0.087,-0.152,-0.617
3.356718,0.099,-0.193,-0.695
3.365131,0.116,-0.232,-0.75
3.36951,0.188,-0.252,-0.746
3.371915,0.153,-0.208,-0.728
3.383732,0.11,-0.157,-0.694
3.38707,-0.06,0.199,-0.48
3.389727,-0.072,0.24,-0.468
3.402705,-0.076,0.294,-0.463
3.407405,-0.117,0.576,-0.491
3.421242,-0.149,0.651,-0.494
3.439792,-0.216,0.827,-0.503
3.458535,0,0.722,-0.565
3.476802,0.295,0.535,-0.568
3.480344,0.374,0.53,-0.121
3.482838,0.355,0.541,-0.054
3.485348,0.336,0.555,0.003
3.487789,0.315,0.565,0.054
3.490431,0.295,0.569,0.088
3.497749,0.281,0.568,0.12
3.500423,0.321,0.449,0.149
3.502862,0.376,0.351,0.094
3.50548,0.438,0.257,-0.012
3.516521,0.491,0.186,-0.174
3.520538,0.426,0.11,-1.022
